word	noun_nomn_score	best_parse	noun_nomn_parse
жизни	0.002928	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
числа	0.008403	NOUN,inan,neut sing,gent	NOUN,inan,neut plur,nomn
армии	0.009259	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
роста	0.010869	NOUN,inan,masc sing,gent	NOUN,inan,masc plur,nomn
среды	0.011111	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
брюле	0.011111	NOUN,anim,femn sing,datv	NOUN,inan,neut,Fixd sing,nomn
эпохи	0.011764	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
нефти	0.013888	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
иолит	0.016842	NOUN,anim,femn,Name plur,gent	NOUN,inan,masc sing,nomn
крови	0.020833	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
почты	0.021276	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
ветра	0.021739	NOUN,inan,masc sing,gent	NOUN,inan,masc plur,nomn,Infr
опеки	0.023809	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
ретро	0.027778	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
оперы	0.028571	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
манги	0.029411	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
прозы	0.030303	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
пауко	0.031250	ADJS neut,sing	NOUN,inan,masc,Sgtm,Fixd,Geox sing,nomn
серии	0.031496	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
озера	0.032258	NOUN,inan,neut sing,gent	NOUN,inan,neut plur,nomn
верби	0.035714	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
платы	0.038461	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
латыш	0.040000	NOUN,anim,masc sing,nomn	NOUN,anim,masc sing,nomn
имаго	0.041667	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
семьи	0.043243	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
банка	0.045454	NOUN,inan,masc sing,gent	NOUN,inan,femn sing,nomn
весны	0.045454	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
охоты	0.045454	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
точки	0.046332	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
земли	0.049261	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
водки	0.050000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
войны	0.050000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
гетто	0.050000	NOUN,inan,neut,Fixd sing,gent	NOUN,inan,neut,Fixd sing,nomn
грязи	0.050000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
масла	0.052631	NOUN,inan,neut sing,gent	NOUN,inan,neut plur,nomn
мэрии	0.052631	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
атаки	0.054054	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
берет	0.055555	VERB,impf,tran sing,3per,pres,indc	NOUN,inan,masc sing,nomn
пения	0.055555	NOUN,inan,neut sing,gent	NOUN,inan,neut plur,nomn
такси	0.055555	NOUN,inan,neut,Fixd sing,accs	NOUN,inan,neut,Fixd sing,nomn
шапки	0.055555	NOUN,inan,femn plur,accs	NOUN,inan,femn plur,nomn
этики	0.055555	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
дерби	0.055556	NOUN,inan,masc,Sgtm,Fixd,Geox sing,nomn	NOUN,inan,masc,Sgtm,Fixd,Geox sing,nomn
башни	0.058823	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
зерна	0.058823	NOUN,inan,neut sing,gent	NOUN,inan,neut plur,nomn
табло	0.058823	NOUN,inan,neut,Fixd sing,accs	NOUN,inan,neut,Fixd sing,nomn
теста	0.058823	NOUN,inan,masc sing,gent	NOUN,inan,neut plur,nomn
науки	0.059405	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
вееры	0.062500	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
ворот	0.062500	NOUN,inan,GNdr,Pltm plur,gent	NOUN,inan,masc sing,nomn
